"Event H-ID","Character(s) Present H-ID",rec_Title
621,376|391,"Gani - Abdul Alias: Gani Miyan
in ""The Owner of Rubble""|Shah - Rakkhey Alias: Rakkha,Rakkha Pahlwan
in ""The Owner of Rubble"""
622,533,"Residents of Abdul Gani's Lane - Unnamed Alias: None
in ""The Owner of Rubble"""
623,533|2394|2395|2396,"Residents of Abdul Gani's Lane - Unnamed Alias: None
in ""The Owner of Rubble""|Women of Abdul Gani's lane - Unnamed Alias: None
in ""The Owner of Rubble""|Children of Abdul Gani's lane - Unnamed Alias: None
in ""The Owner of Rubble""|Two teenage girls in Abdul Gani's lane - Unnamed Alias: None
in ""The Owner of Rubble"""
624,45|48,"Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot""|Kaur - Anup Alias: None
in ""Qazi da Kot"""
625,533|391,"Residents of Abdul Gani's Lane - Unnamed Alias: None
in ""The Owner of Rubble""|Shah - Rakkhey Alias: Rakkha,Rakkha Pahlwan
in ""The Owner of Rubble"""
626,45,"Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot"""
627,391,"Shah - Rakkhey Alias: Rakkha,Rakkha Pahlwan
in ""The Owner of Rubble"""
629,391|2401,"Shah - Rakkhey Alias: Rakkha,Rakkha Pahlwan
in ""The Owner of Rubble""|Rakkha's acquaintances - Unnamed Alias: None
in ""The Owner of Rubble"""
630,391|397,"Shah - Rakkhey Alias: Rakkha,Rakkha Pahlwan
in ""The Owner of Rubble""|Disciple of Rakkha - Laccha Alias: Laccha Pahlwan
in ""The Owner of Rubble"""
631,391,"Shah - Rakkhey Alias: Rakkha,Rakkha Pahlwan
in ""The Owner of Rubble"""
632,391,"Shah - Rakkhey Alias: Rakkha,Rakkha Pahlwan
in ""The Owner of Rubble"""
633,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
634,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
635,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
636,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
641,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
642,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
643,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
644,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
645,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
646,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
647,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
723,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
724,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
725,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
726,74|517,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border""|Raj - Tilak Alias: None
in ""The Border"""
727,74|519|517,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border""|Rakhi - Ram Alias: None
in ""The Border""|Raj - Tilak Alias: None
in ""The Border"""
728,74|517|519,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border""|Raj - Tilak Alias: None
in ""The Border""|Rakhi - Ram Alias: None
in ""The Border"""
729,74|519|517,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border""|Rakhi - Ram Alias: None
in ""The Border""|Raj - Tilak Alias: None
in ""The Border"""
730,74|519|517,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border""|Rakhi - Ram Alias: None
in ""The Border""|Raj - Tilak Alias: None
in ""The Border"""
731,74|517|519,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border""|Raj - Tilak Alias: None
in ""The Border""|Rakhi - Ram Alias: None
in ""The Border"""
732,74|74|519,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border""|A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border""|Rakhi - Ram Alias: None
in ""The Border"""
733,74|519|74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border""|Rakhi - Ram Alias: None
in ""The Border""|A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
734,74|519|517,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border""|Rakhi - Ram Alias: None
in ""The Border""|Raj - Tilak Alias: None
in ""The Border"""
735,74|517|519,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border""|Raj - Tilak Alias: None
in ""The Border""|Rakhi - Ram Alias: None
in ""The Border"""
736,74|519|517,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border""|Rakhi - Ram Alias: None
in ""The Border""|Raj - Tilak Alias: None
in ""The Border"""
737,74|517,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border""|Raj - Tilak Alias: None
in ""The Border"""
739,74|519|517,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border""|Rakhi - Ram Alias: None
in ""The Border""|Raj - Tilak Alias: None
in ""The Border"""
740,517,"Raj - Tilak Alias: None
in ""The Border"""
741,517,"Raj - Tilak Alias: None
in ""The Border"""
742,517,"Raj - Tilak Alias: None
in ""The Border"""
947,932|938|934,"Muslim mother travelling to Etawah - Suraiya Alias: None
in ""Getting Even""|Younger child of Suraiya - Abid Alias: None
in ""Getting Even""|Elder child of Suraiya - Zubeida Alias: None
in ""Getting Even"""
948,932|931|936,"Muslim mother travelling to Etawah - Suraiya Alias: None
in ""Getting Even""|Older Sikh in the train compartment - Unnamed Alias: Sardarji
in ""Getting Even""|Younger Sikh in the train compartment - Kaka Alias: None
in ""Getting Even"""
949,932|938|934,"Muslim mother travelling to Etawah - Suraiya Alias: None
in ""Getting Even""|Younger child of Suraiya - Abid Alias: None
in ""Getting Even""|Elder child of Suraiya - Zubeida Alias: None
in ""Getting Even"""
950,932,"Muslim mother travelling to Etawah - Suraiya Alias: None
in ""Getting Even"""
951,932|931,"Muslim mother travelling to Etawah - Suraiya Alias: None
in ""Getting Even""|Older Sikh in the train compartment - Unnamed Alias: Sardarji
in ""Getting Even"""
952,932|931,"Muslim mother travelling to Etawah - Suraiya Alias: None
in ""Getting Even""|Older Sikh in the train compartment - Unnamed Alias: Sardarji
in ""Getting Even"""
953,932|931|938,"Muslim mother travelling to Etawah - Suraiya Alias: None
in ""Getting Even""|Older Sikh in the train compartment - Unnamed Alias: Sardarji
in ""Getting Even""|Younger child of Suraiya - Abid Alias: None
in ""Getting Even"""
954,932|943|945,"Muslim mother travelling to Etawah - Suraiya Alias: None
in ""Getting Even""|First Hindu that enters the train compartment - Unnamed Alias: Babu Sahib
in ""Getting Even""|Second Hindu that enters the train compartment - Unnamed Alias: None
in ""Getting Even"""
955,932|931,"Muslim mother travelling to Etawah - Suraiya Alias: None
in ""Getting Even""|Older Sikh in the train compartment - Unnamed Alias: Sardarji
in ""Getting Even"""
956,932|931,"Muslim mother travelling to Etawah - Suraiya Alias: None
in ""Getting Even""|Older Sikh in the train compartment - Unnamed Alias: Sardarji
in ""Getting Even"""
957,932|931|943,"Muslim mother travelling to Etawah - Suraiya Alias: None
in ""Getting Even""|Older Sikh in the train compartment - Unnamed Alias: Sardarji
in ""Getting Even""|First Hindu that enters the train compartment - Unnamed Alias: Babu Sahib
in ""Getting Even"""
958,959,"Young Sikh/Hindu women who were stripped - Unnamed Alias: None
in ""Getting Even"""
960,931|936,"Older Sikh in the train compartment - Unnamed Alias: Sardarji
in ""Getting Even""|Younger Sikh in the train compartment - Kaka Alias: None
in ""Getting Even"""
965,67|59,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
966,59,"Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
967,59|67,"Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Ali - Gulam Alias: None
in ""Separated from the Flock"""
968,67|59,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
969,59|75,"Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Relatives of Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
970,67|59,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
971,67|59,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
972,67|80,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Wife of Gulam Ali - Jameela Alias: None
in ""Separated from the Flock"""
973,67|59,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
974,90|91,"Friend of Gulam Ali - Vaziruddin Alias: None
in ""Separated from the Flock""|Wife of Vaziruddin - Unnamed Alias: None
in ""Separated from the Flock"""
975,67|59,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
976,59,"Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
977,67|59,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
981,59|67,"Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Ali - Gulam Alias: None
in ""Separated from the Flock"""
982,67|92,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Parents of Gulam Ali - Unnamed Alias: None
in ""Separated from the Flock"""
983,67|59,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
984,59,"Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
986,67|59,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
987,67|59|95|97|98,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock"""
988,59,"Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
989,59|95,"Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock"""
991,59|95|100|102,"Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Friends of Narrator and Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Mothers of Narrator and Nawab - Unnamed Alias: None
in ""Separated from the Flock"""
993,67|59|95|97|98,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock"""
994,59|95|67,"Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Ali - Gulam Alias: None
in ""Separated from the Flock"""
995,95,"Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock"""
996,95,"Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock"""
997,67|95|59,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
998,59,"Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
999,95|59|67,"Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Ali - Gulam Alias: None
in ""Separated from the Flock"""
1000,67|95|59,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
1002,67|59|95,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock"""
1003,59|95,"Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock"""
1004,95|67|59,"Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
1005,95|59|97|98|67,"Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock""|Ali - Gulam Alias: None
in ""Separated from the Flock"""
1006,95|59,"Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
1007,831|832|830,"Unnamed - Baba Alias: Narrator's Father
in ""More Sinned Against Than Sinning""|Unnamed - Amma Alias: Narrator's Mother
in ""More Sinned Against Than Sinning""|Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning"""
1008,831|830|832|836|840,"Unnamed - Baba Alias: Narrator's Father
in ""More Sinned Against Than Sinning""|Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning""|Unnamed - Amma Alias: Narrator's Mother
in ""More Sinned Against Than Sinning""|Unnamed - Bade Bhaiya Alias: Narrator's Elder Brother
in ""More Sinned Against Than Sinning""|Unnamed - Narrator's Younger Brother Alias: None
in ""More Sinned Against Than Sinning"""
1009,831|832|830|836|840,"Unnamed - Baba Alias: Narrator's Father
in ""More Sinned Against Than Sinning""|Unnamed - Amma Alias: Narrator's Mother
in ""More Sinned Against Than Sinning""|Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning""|Unnamed - Bade Bhaiya Alias: Narrator's Elder Brother
in ""More Sinned Against Than Sinning""|Unnamed - Narrator's Younger Brother Alias: None
in ""More Sinned Against Than Sinning"""
1010,830|836|832,"Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning""|Unnamed - Bade Bhaiya Alias: Narrator's Elder Brother
in ""More Sinned Against Than Sinning""|Unnamed - Amma Alias: Narrator's Mother
in ""More Sinned Against Than Sinning"""
1011,830|838,"Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning""|Unnamed - Narrator's Elder Sister Alias: None
in ""More Sinned Against Than Sinning"""
1012,830|836,"Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning""|Unnamed - Bade Bhaiya Alias: Narrator's Elder Brother
in ""More Sinned Against Than Sinning"""
1013,830,"Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning"""
1014,830,"Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning"""
1015,830,"Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning"""
1016,831|830,"Unnamed - Baba Alias: Narrator's Father
in ""More Sinned Against Than Sinning""|Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning"""
1017,830,"Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning"""
1018,830,"Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning"""
1019,830,"Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning"""
1020,830|836|842,"Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning""|Unnamed - Bade Bhaiya Alias: Narrator's Elder Brother
in ""More Sinned Against Than Sinning""|Unnamed - Pakhi Alias: None
in ""More Sinned Against Than Sinning"""
1021,836|842|830,"Unnamed - Bade Bhaiya Alias: Narrator's Elder Brother
in ""More Sinned Against Than Sinning""|Unnamed - Pakhi Alias: None
in ""More Sinned Against Than Sinning""|Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning"""
1022,836|842,"Unnamed - Bade Bhaiya Alias: Narrator's Elder Brother
in ""More Sinned Against Than Sinning""|Unnamed - Pakhi Alias: None
in ""More Sinned Against Than Sinning"""
1023,842|836,"Unnamed - Pakhi Alias: None
in ""More Sinned Against Than Sinning""|Unnamed - Bade Bhaiya Alias: Narrator's Elder Brother
in ""More Sinned Against Than Sinning"""
1024,836|842,"Unnamed - Bade Bhaiya Alias: Narrator's Elder Brother
in ""More Sinned Against Than Sinning""|Unnamed - Pakhi Alias: None
in ""More Sinned Against Than Sinning"""
1025,842|934,"Unnamed - Pakhi Alias: None
in ""More Sinned Against Than Sinning""|Elder child of Suraiya - Zubeida Alias: None
in ""Getting Even"""
1026,832|831|836|840|830|842|846,"Unnamed - Amma Alias: Narrator's Mother
in ""More Sinned Against Than Sinning""|Unnamed - Baba Alias: Narrator's Father
in ""More Sinned Against Than Sinning""|Unnamed - Bade Bhaiya Alias: Narrator's Elder Brother
in ""More Sinned Against Than Sinning""|Unnamed - Narrator's Younger Brother Alias: None
in ""More Sinned Against Than Sinning""|Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning""|Unnamed - Pakhi Alias: None
in ""More Sinned Against Than Sinning""|Unnamed - Pakhi and Bade Bhaiya's Children Alias: None
in ""More Sinned Against Than Sinning"""
1027,830,"Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning"""
1028,830,"Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning"""
1029,830|842,"Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning""|Unnamed - Pakhi Alias: None
in ""More Sinned Against Than Sinning"""
1030,836|830|842,"Unnamed - Bade Bhaiya Alias: Narrator's Elder Brother
in ""More Sinned Against Than Sinning""|Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning""|Unnamed - Pakhi Alias: None
in ""More Sinned Against Than Sinning"""
1031,830,"Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning"""
1032,842|830,"Unnamed - Pakhi Alias: None
in ""More Sinned Against Than Sinning""|Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning"""
1033,832|830,"Unnamed - Amma Alias: Narrator's Mother
in ""More Sinned Against Than Sinning""|Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning"""
1034,832|830|842,"Unnamed - Amma Alias: Narrator's Mother
in ""More Sinned Against Than Sinning""|Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning""|Unnamed - Pakhi Alias: None
in ""More Sinned Against Than Sinning"""
1035,666|262,"Ali - Kamaran Alias: Azeez
in ""A Letter from India""|Ali - Kurban Ali Alias: Narrator
in ""A Letter from India"""
1036,666|262,"Ali - Kamaran Alias: Azeez
in ""A Letter from India""|Ali - Kurban Ali Alias: Narrator
in ""A Letter from India"""
1037,666|262,"Ali - Kamaran Alias: Azeez
in ""A Letter from India""|Ali - Kurban Ali Alias: Narrator
in ""A Letter from India"""
1038,262|666,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Ali - Kamaran Alias: Azeez
in ""A Letter from India"""
1039,750|666,"Nanda's father - Unknown Alias: None
in ""The Dressing Table""|Ali - Kamaran Alias: Azeez
in ""A Letter from India"""
1040,262|267,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Ali - Imran Miyan Alias: None
in ""A Letter from India"""
1041,262|268|267,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Ali - Chachi Alias: None
in ""A Letter from India""|Ali - Imran Miyan Alias: None
in ""A Letter from India"""
1042,262|268|267,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Ali - Chachi Alias: None
in ""A Letter from India""|Ali - Imran Miyan Alias: None
in ""A Letter from India"""
1043,262|267,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Ali - Imran Miyan Alias: None
in ""A Letter from India"""
1044,262|267,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Ali - Imran Miyan Alias: None
in ""A Letter from India"""
1045,262|267,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Ali - Imran Miyan Alias: None
in ""A Letter from India"""
1046,271,"Ali - Miyan Jani Alias: None
in ""A Letter from India"""
1047,262,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India"""
1048,262|666,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Ali - Kamaran Alias: Azeez
in ""A Letter from India"""
1049,262|666,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Ali - Kamaran Alias: Azeez
in ""A Letter from India"""
1050,262|666,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Ali - Kamaran Alias: Azeez
in ""A Letter from India"""
1051,267,"Ali - Imran Miyan Alias: None
in ""A Letter from India"""
1052,262|750,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Nanda's father - Unknown Alias: None
in ""The Dressing Table"""
1053,262|267,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Ali - Imran Miyan Alias: None
in ""A Letter from India"""
1054,262|750,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Nanda's father - Unknown Alias: None
in ""The Dressing Table"""
1055,262,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India"""
1056,262|272,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Hassan - Sheikh Saddique Hassan Alias: Sheikh Sahib
in ""A Letter from India"""
1057,262,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India"""
1059,262|272,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Hassan - Sheikh Saddique Hassan Alias: Sheikh Sahib
in ""A Letter from India"""
1060,262|666,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Ali - Kamaran Alias: Azeez
in ""A Letter from India"""
1062,959|1063,"Young Sikh/Hindu women who were stripped - Unnamed Alias: None
in ""Getting Even""|Male relatives of young girls who were stripped - Unknown Alias: None
in ""Getting Even"""
1064,931|943,"Older Sikh in the train compartment - Unnamed Alias: Sardarji
in ""Getting Even""|First Hindu that enters the train compartment - Unnamed Alias: Babu Sahib
in ""Getting Even"""
1065,943|931,"First Hindu that enters the train compartment - Unnamed Alias: Babu Sahib
in ""Getting Even""|Older Sikh in the train compartment - Unnamed Alias: Sardarji
in ""Getting Even"""
1066,272|262,"Hassan - Sheikh Saddique Hassan Alias: Sheikh Sahib
in ""A Letter from India""|Ali - Kurban Ali Alias: Narrator
in ""A Letter from India"""
1067,262|666,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Ali - Kamaran Alias: Azeez
in ""A Letter from India"""
1068,262|273,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Ali - Narrator's Older Brother Alias: My late and respected brother, Narrator's Elder Brother who went to Dhaka
in ""A Letter from India"""
1069,262,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India"""
1070,275,"Ali - Akhtar Alias: Premi
in ""A Letter from India"""
1071,276|277,"Ali - Khalida Alias: None
in ""A Letter from India""|Ali - Khalida's Husband Alias: None
in ""A Letter from India"""
1072,279|280,"Appajan's Daughter - Nargis Alias: None
in ""A Letter from India""|Ali - Nargis' Husband Alias: Wahabi
in ""A Letter from India"""
1074,278,"Ali - Appajan Alias: None
in ""A Letter from India"""
1075,931|943,"Older Sikh in the train compartment - Unnamed Alias: Sardarji
in ""Getting Even""|First Hindu that enters the train compartment - Unnamed Alias: Babu Sahib
in ""Getting Even"""
1076,262,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India"""
1077,931|943|932,"Older Sikh in the train compartment - Unnamed Alias: Sardarji
in ""Getting Even""|First Hindu that enters the train compartment - Unnamed Alias: Babu Sahib
in ""Getting Even""|Muslim mother travelling to Etawah - Suraiya Alias: None
in ""Getting Even"""
1078,262|273,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Ali - Narrator's Older Brother Alias: My late and respected brother, Narrator's Elder Brother who went to Dhaka
in ""A Letter from India"""
1079,273|267,"Ali - Narrator's Older Brother Alias: My late and respected brother, Narrator's Elder Brother who went to Dhaka
in ""A Letter from India""|Ali - Imran Miyan Alias: None
in ""A Letter from India"""
1080,262|666,"Ali - Kurban Ali Alias: Narrator
in ""A Letter from India""|Ali - Kamaran Alias: Azeez
in ""A Letter from India"""
1081,273,"Ali - Narrator's Older Brother Alias: My late and respected brother, Narrator's Elder Brother who went to Dhaka
in ""A Letter from India"""
1083,836|830|842,"Unnamed - Bade Bhaiya Alias: Narrator's Elder Brother
in ""More Sinned Against Than Sinning""|Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning""|Unnamed - Pakhi Alias: None
in ""More Sinned Against Than Sinning"""
1085,273|270|269,"Ali - Narrator's Older Brother Alias: My late and respected brother, Narrator's Elder Brother who went to Dhaka
in ""A Letter from India""|Ali - Imran Miyan's Children Alias: None
in ""A Letter from India""|Ali - Imran Miyan's Wife Alias: None
in ""A Letter from India"""
1086,830|836|831|832|842,"Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning""|Unnamed - Bade Bhaiya Alias: Narrator's Elder Brother
in ""More Sinned Against Than Sinning""|Unnamed - Baba Alias: Narrator's Father
in ""More Sinned Against Than Sinning""|Unnamed - Amma Alias: Narrator's Mother
in ""More Sinned Against Than Sinning""|Unnamed - Pakhi Alias: None
in ""More Sinned Against Than Sinning"""
1087,840,"Unnamed - Narrator's Younger Brother Alias: None
in ""More Sinned Against Than Sinning"""
1088,831|840,"Unnamed - Baba Alias: Narrator's Father
in ""More Sinned Against Than Sinning""|Unnamed - Narrator's Younger Brother Alias: None
in ""More Sinned Against Than Sinning"""
1089,1090,"Unnamed - Narrator's Family Alias: None
in ""More Sinned Against Than Sinning"""
1093,831|840|830,"Unnamed - Baba Alias: Narrator's Father
in ""More Sinned Against Than Sinning""|Unnamed - Narrator's Younger Brother Alias: None
in ""More Sinned Against Than Sinning""|Unnamed - Narrator Alias: Munniya, Bibi, Bitiya
in ""More Sinned Against Than Sinning"""
1094,840|850|831,"Unnamed - Narrator's Younger Brother Alias: None
in ""More Sinned Against Than Sinning""|Unnamed - Pakhi's Brother Alias: None
in ""More Sinned Against Than Sinning""|Unnamed - Baba Alias: Narrator's Father
in ""More Sinned Against Than Sinning"""
1095,840|831,"Unnamed - Narrator's Younger Brother Alias: None
in ""More Sinned Against Than Sinning""|Unnamed - Baba Alias: Narrator's Father
in ""More Sinned Against Than Sinning"""
